Program ID,Location ID,Final URL,Image URL,Area of study,Program name,Subtitle,Program description,Address,Contextual keywords,Similar program IDs
5508,toivala-siilinjarvi,https://savonkoulutus.fi/koulutukset/vesityokorttitentti-10-11-2026-toivala/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Kone-, tuotanto- ja energiatekniikka","Vesityökorttitentti, Toivala",Alkaa 10.11.2026 · Toivala (Siilinjärvi),"10.11.2026 klo 14.00 Haapamäentie 1, Toivala Tentin voi suorittaa vesilaitos- ja/tai vesijohtoverkoston osiosta. Läpäisty tentti oikeuttaa Lupa- ja valvontaviraston myöntämään vesityökorttiin, joka toimitetaan postissa. Tentti tehdään Lupa- ja valvontaviraston Moodle järjestelmästä, joka vaatii suorittajalta vahvan tunnistautumisen pankkitunnuksilla tai mobiilivarmenteella. Mikäli käytössäsi ei ole vahvaa tunnistautumista, ota yhteyttä kouluttajaan vähintään 14 vrk etukäteen.",,"Vesityökorttitentti, Toivala;Kone-;tuotanto- ja energiatekniikka;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Toivala (Siilinjärvi)",
5506,toivala-siilinjarvi,https://savonkoulutus.fi/koulutukset/vesityokortti-8-h-10-11-2026-toivala/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Kone-, tuotanto- ja energiatekniikka","Vesityökortti (8 h), Toivala",Alkaa 10.11.2026 · Toivala (Siilinjärvi),"10.11.2026 klo 9 - 16 Haapamäentie 1, Toivala Koulutuksessa käsitellään talousvettä toimittavissa laitoksissa ja talousveden laatuun vaikuttavia toimenpiteissä, kuten putkiasennustöissä huomioitavia näkökohtia. Koulutus antaa riittävät perustiedot • mikrobiologiasta • vesikemiasta, • puhdistustekniikasta, • vesihygieniasta, • käyttötarkkailusta ja • lainsäädännöstä. Riittävistä perustiedoista on säädetty sosiaali- ja terveysministeriön asetuksilla (1350/2006 ja 1351/2006). Koulutuksen jälkeen…",,"Vesityökortti (8 h), Toivala;Kone-;tuotanto- ja energiatekniikka;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Toivala (Siilinjärvi)",
5329,verkko,https://savonkoulutus.fi/koulutukset/verkkokurssi-ikaantyneen-ravitsemushoito/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Majoitus- ja ravitsemispalvelut, matkailu",Verkkokurssi: Ikääntyneen ravitsemushoito,Alkaa 1.8.2026 · Verkko-opetus,Koulutus toteutetaan itsenäisenä verkko-opiskeluna Moodle-verkkoympäristössä. Ilmoittautumisen jälkeen saat lähipäivinä sähköpostiisi tunnukset ja ohjeistuksen Moodle-verkkoympäristöön. Tunnukset ovat voimassa noin 12 viikkoa. KOULUTUKSEN SISÄLTÖ 1. Johdantoa ruokasuositukseen ja ravitsemushoitoon 2. Potilaan haastattelu hoidon piiriin tullessa 3. Ikääntyneen energiantarpeen arviointi ja annoskoon valinta 4. Ikääntyneen ravintoaineiden tarve ja tehtävät elimistössä 5. Ruoansulatus ja…,,Verkkokurssi: Ikääntyneen ravitsemushoito;Majoitus- ja ravitsemispalvelut;matkailu;Ammatillinen täydennyskoulutus;korttikoulutukset,
5328,verkko,https://savonkoulutus.fi/koulutukset/verkkokurssi-brandi-joka-erottuu-koulutus-brandin-suunnitteluun-ja-johtamiseen/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Liiketalous, johtaminen ja yrittäjyys","Verkkokurssi: Brändi, joka erottuu – koulutus brändin suunnitteluun ja johtamiseen",Alkaa 1.8.2026 · Verkko-opetus,"Verkkokoulutus antaa selkeät työkalut brändin rakentamiseen ja johtamiseen - asiakaslupauksesta viestintään ja mittareista pitkäjänteiseen kehittämiseen. Sopii kaikille, jotka haluavat vahvistaa organisaationsa brändiä ja sen vaikuttavuutta. Koulutuksen jälkeen: - Ymmärrät brändityön merkityksen ja tavoitteet – osaat kytkeä brändin organisaation strategiaan ja arjen toimintaan. - Osaat määritellä ja kirkastaa asiakaslupauksen, joka ohjaa markkinointia, viestintää ja palvelukokemusta…",,"Verkkokurssi: Brändi, joka erottuu – koulutus brändin suunnitteluun ja johtamiseen;Liiketalous;johtaminen ja yrittäjyys;Ammatillinen täydennyskoulutus;korttikoulutukset",
5325,kuopio,https://savonkoulutus.fi/koulutukset/vartijan-ja-jarjestyksenvalvojan-voimankayttovalineiden-kertauskoulutus-8-h-18-11-2026/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,Turvallisuus,Vartijan ja järjestyksenvalvojan voimankäyttövälineiden kertauskoulutus (8 h),Alkaa 18.11.2026 · Kuopio,"Keskiviikko 18.11.2026 klo 8–16 Savilahden kampus, Hehkukatu 1, Kuopio Kokoontuminen C-rakennuksen (Valo) pääaulaan Voimankäytön kertauskoulutuksen sisältö: - voimankäyttöä koskevan lainsäädännön kertaus - voimankäyttövälineitä koskevan lainsäädännön kertaus - välinekohtainen voimankäytön harjoittelu ja kertaus - näyttökoe kaikkien kannettavien voimankäyttövälineiden osalta",,Vartijan ja järjestyksenvalvojan voimankäyttövälineiden kertauskoulutus (8 h);Turvallisuus;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Kuopio,
5324,kuopio,https://savonkoulutus.fi/koulutukset/vartijan-ja-jarjestyksenvalvojan-voimankayttokoulutus-teleskooppipatukka-6-h-20-10-2026/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,Turvallisuus,"Vartijan ja järjestyksenvalvojan voimankäyttökoulutus, Teleskooppipatukka (6 h)",Alkaa 20.10.2026 · Kuopio,"Tiistai 20.10.2026 klo 8–14 Savilahden kampus, Hehkukatu 1, Kuopio Kokoontuminen C-rakennuksen (Valo) pääaulaan Sisältö: 1. Teleskooppipatukka * Rakenne ja mallit * Käyttöönotto, huolto ja ongelmat 2. Teleskooppipatukan käyttö * Kantaminen ja kotelotyypit * Ennakointi, varautuminen * Lyönnin kohdealueet ja kielletyt alueet * Käyttö ja käskytys * Lyöminen * Etäisyyden ottaminen * Torjunnat * Käytännön harjoittelu * Iskutyynyharjoitukset * Sovellettu iskusuojapukuharjoitus 3. Käytännön osaamisen…",,"Vartijan ja järjestyksenvalvojan voimankäyttökoulutus, Teleskooppipatukka (6 h);Turvallisuus;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Kuopio",
5322,kuopio,https://savonkoulutus.fi/koulutukset/vartijan-ja-jarjestyksenvalvojan-voimankayttokoulutus-kaasusumutin-6-h-19-10-2026/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,Turvallisuus,"Vartijan ja järjestyksenvalvojan voimankäyttökoulutus, Kaasusumutin (6 h)",Alkaa 19.10.2026 · Kuopio,"Maanantai 19.10.2026 klo 8–14 Savilahden kampus, Hehkukatu 1, Kuopio Kokoontuminen C-rakennuksen (Valo) pääaulaan Sisältö: * Kaasusumuttimen sisältämät aineet * Kaasusumutin * Kaasusumuttimen käyttö * Käytännön osaamisen toteaminen ja koe",,"Vartijan ja järjestyksenvalvojan voimankäyttökoulutus, Kaasusumutin (6 h);Turvallisuus;Ammatillinen täydennyskoulutus;korttikoulutukset;koulutus Kuopio",
5603,verkko,https://savonkoulutus.fi/koulutukset/varmuutta-rokottamiseen-tule-vahvistamaan-rokotusosaamistasi/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,Sosiaali ja terveys,Varmuutta rokottamiseen - tule vahvistamaan rokotusosaamistasi,Alkaa 26.10.2026 · Verkko-opetus,"Koulutuksessa käydään läpi ajankohtaista tietoa rokottamisen käytännöistä, vastuista ja ohjeistuksista. Saat varmuutta aikuisten rokotustilanteisiin ja vahvistat näin ammatillista osaamistasi.Osallistujalla tulee olla työpaikka, jossa on rokotustoimintaa. Opintoihin sisältyy itsenäisesti etenevää verkko-opiskelua ja tehtäviä, työpaikalla tapahtuvaa oppimista ja rokotustoiminnan harjoittelua työssä. Saat henkilökohtaisen ohjauksen ja harjoittelusta sovitaan yksilöllisesti taustakoulutus ja…",,Varmuutta rokottamiseen - tule vahvistamaan rokotusosaamistasi;Sosiaali ja terveys;Ammatillinen täydennyskoulutus;korttikoulutukset,
5461,verkko,https://savonkoulutus.fi/koulutukset/valmentava-ote-tyoelamassa-taidot-ja-tyokalut/,https://savonkoulutus.fi/wp-content/uploads/2024/12/sakky_oy-1400x883.jpg,"Liiketalous, johtaminen ja yrittäjyys",Valmentava ote työelämässä – taidot ja työkalut,Alkaa 10.11.2026 · Etätoteutus,"Haluatko sujuvampaa yhteistyötä ja vaikuttavampaa vuorovaikutusta? Opi kuuntelemaan, kysymään ja antamaan palautetta niin, että työyhteisösi kehittyy ja kukoistaa. Saat käytännön työkalut haastaviin keskusteluihin, mentorointiin ja fasilitointiin. Koulutus toteutetaan Teamsin välityksellä 10.11.2026 klo 8.15-15.15 Saat käytännönläheiset työkalut ja taidot, joilla rakennat parempaa yhteistyötä ja sujuvampaa työarkea – riippumatta roolistasi työelämässä! Koulutuksesta jälkeen - Kehityt…",,Valmentava ote työelämässä – taidot ja työkalut;Liiketalous;johtaminen ja yrittäjyys;Ammatillinen täydennyskoulutus;korttikoulutukset,
5760,verkko,https://savonkoulutus.fi/koulutukset/validaatio-teoiksi-koulutus/,https://savonkoulutus.fi/wp-content/uploads/2025/03/validaatioteoiksi.jpg,Sosiaali ja terveys,Validaatio teoiksi-koulutus,Alkaa 21.1.2027 · Etätoteutus,"Koulutuksen tavoitteena on vahvistaa ja tukea muistiymmärrystä ja myönteisiä, ratkaisukeskeisiä työskentelymenetelmiä sekä työssäjaksamista. Ihmisen kohtaamiseen ja tunnetason vuorovaikutukseen liittyviä ajankohtaisia kysymyksiä ja aiheita käsitellään luentotyyppisillä alustuksilla ja harjoitusten avulla. Yhdessä mietitään mahdollisia ratkaisukeinoja. Koulutukseen kuuluu 6 iltapäivätapaamista (TEAMS), joiden sisältöä ohjaa Validaatio menetelmän perusteet 21.01.2027 klo 12.15-16.00 11.02.2027…",,Validaatio teoiksi-koulutus;Sosiaali ja terveys;Ammatillinen täydennyskoulutus;korttikoulutukset,
